NAME ,AVG_PROF_RATING
UNIVERSITY OF ILLINOIS AT CHICAGO ,3.77
UNIVERSITY OF ARIZONA,3.7
UNIVERSITY OF COLORADO BOULDER,3.69
UNIVERSITY OF MINNESOTA TWIN CITIES,3.69
UNIVERSITY OF TEXAS DALLAS,3.67
WASHINGTON STATE UNIVERSITY,3.63
WASHINGTON UNIVERSITY IN ST  LOUIS,3.81
FLORIDA STATE UNIVERSITY,3.8
SYRACUSE UNIVERSITY,3.67
UNIVERSITY AT BUFFALO,3.73
UNIVERSITY OF CENTRAL FLORIDA,3.74
UNIVERSITY OF MIAMI,3.82
FLORIDA INTERNATIONAL UNIVERSITY,3.82
UNIVERSITY OF UTAH,3.76
VANDERBILT UNIVERSITY,3.83
IOWA STATE UNIVERSITY,3.62
UNIVERSTIY OF SOUTH FLORIDA,3.81
UNIVERSITY OF TENNESSEE KNOXVILLE,3.74
WILLIAM   MARY,3.8
UNIVERSITY OF GEORGIA,3.84
UNIVERSITY OF ALABAMA,3.89
UNIVERSITY OF CALIFORNIA SANTA CRUZ,3.72
UNIVERSITY OF SOUTH CAROLINA,3.77
WAYNE STATE UNIVERSITY,3.78
COLORADO STATE UNIVERSITY,3.63
MICHIGAN TECHNOLOGICAL UNIVERSITY,3.56
NEW JERSEY INSTITUTE OF TECHNOLOGY,3.56
UNIVERSITY OF CALIFORNIA RIVERSIDE,3.8
UNIVERSITY OF CONNECTICUT,3.65
UNIVERSITY OF MARYLAND BALTIMORE COUNTY,3.71
UNIVERSITY OF TEXAS AT SAN ANTONIO,3.77
CLEMSON UNIVERSITY,3.71
TEXAS TECH UNIVERSITY,3.73
UNIVERSITY OF NEBRASKA LINCOLN,3.62
UNIVERSITY OF OREGON,3.71
UNIVERSITY OF TEXAS ARLINGTON,3.72
